Gene names (ordered locus ),comparison,mean_formate,mean_phosphate,log2FC,n_formate,n_phosphate,p_value,fdr
MMP0397,formate_vs_phosphate,-0.44605267707070767,0.05070850862298368,-0.4967611856936913,12,12,0.09297013985760208,0.24246612474862622
MMP1520,formate_vs_phosphate,-0.11469405518714387,0.7207543218108864,-0.8354483769980303,11,10,0.09533903137686059,0.2470746285716671
MMP1169,formate_vs_phosphate,0.20188615435896676,-0.09301669584650536,0.29490285020547213,12,12,0.09555561757349576,0.2470746285716671
MMP0867,formate_vs_phosphate,-1.4409529349318426,0.014928222793337803,-1.4558811577251805,5,2,0.0958740506574107,0.2470746285716671
MMP0923,formate_vs_phosphate,0.2504828176901241,0.7886405115618064,-0.5381576938716823,12,12,0.09665314664623881,0.2481017780053059
MMP0688,formate_vs_phosphate,-0.43493055984078893,0.20915386061262406,-0.644084420453413,11,12,0.09737906009580545,0.24877793061322284
MMP1253,formate_vs_phosphate,0.14137520441220433,-1.2581726402255562,1.3995478446377605,6,4,0.09767967827758443,0.24877793061322284
MMP1186,formate_vs_phosphate,0.5875154612397017,0.16618320789172786,0.4213322533479738,12,11,0.09916224427434533,0.25156650518438084
MMP1410,formate_vs_phosphate,-0.44838082752077285,-1.134953056705913,0.6865722291851402,12,12,0.09954625511897279,0.25156650518438084
MMP0917,formate_vs_phosphate,-0.14538473655499531,0.2219865639795027,-0.367371300534498,12,11,0.10080146944056231,0.25228440868050206
MMP0964,formate_vs_phosphate,1.767031399564519,0.45288808064203645,1.3141433189224827,4,2,0.10083452870900358,0.25228440868050206
MMP0256,formate_vs_phosphate,2.544336314523347,0.576389569503471,1.967946745019876,3,3,0.10134030499260673,0.25228440868050206
MMP0267,formate_vs_phosphate,0.9619943455417862,-0.10063266874869825,1.0626270142904843,7,3,0.10137809060474162,0.25228440868050206
MMP0358,formate_vs_phosphate,-0.0999913631813222,1.1545633778417435,-1.2545547410230657,9,4,0.10215356371937911,0.2532476180419589
MMP1320,formate_vs_phosphate,-0.20443729011853431,0.1528949529940636,-0.3573322431125979,12,12,0.10286733259917079,0.2540511396009824
MMP1662,formate_vs_phosphate,0.4816887981402606,-0.28052762482113347,0.7622164229613941,11,10,0.1039343174427255,0.2557176414062529
MMP1369,formate_vs_phosphate,-0.19672315756322314,-0.48996174078967075,0.2932385832264476,12,12,0.10445298582077363,0.25602761938024216
MMP1323,formate_vs_phosphate,-0.2108688772987256,0.24076657742138008,-0.4516354547201057,12,12,0.10627127275557083,0.2595088757926299
MMP1271,formate_vs_phosphate,0.34639776989869353,-0.7453098613446113,1.0917076312433047,9,11,0.10709863594181625,0.26055339788829923
MMP1464,formate_vs_phosphate,0.2949510240154686,-0.9659005919774765,1.260851615992945,7,2,0.1080052226558419,0.261782175359141
MMP0978,formate_vs_phosphate,-0.027541354157967008,0.5599421302217912,-0.5874834843797582,12,11,0.11279050511481081,0.2723681827216913
MMP1720,formate_vs_phosphate,0.20128233509356908,1.1328600448595247,-0.9315777097659557,12,9,0.11349571057440573,0.2730597907546588
MMP1270,formate_vs_phosphate,0.6368276453961439,1.4763070067755026,-0.8394793613793587,10,8,0.1149131477669755,0.2754535747943678
MMP0132,formate_vs_phosphate,-0.14579032172034692,0.25542179063185505,-0.401212112352202,11,12,0.11659305367990623,0.2774981771773443
MMP0284,formate_vs_phosphate,0.23280732302316554,-0.7382327263561175,0.971040049379283,6,6,0.1166939927888512,0.2774981771773443
MMP1513,formate_vs_phosphate,0.9882377526513307,2.603856748467224,-1.6156189958158933,10,9,0.11704294282786763,0.2774981771773443
MMP1368,formate_vs_phosphate,-0.5554968098046398,-0.8021778462507599,0.24668103644612016,12,12,0.12054916697130605,0.2837504107346269
MMP0431,formate_vs_phosphate,-0.4710870560877794,0.6542441341356794,-1.1253311902234588,10,5,0.12088826384075874,0.2837504107346269
MMP1002,formate_vs_phosphate,0.6983077497522279,-0.2475508220216988,0.9458585717739267,10,4,0.12098560457703417,0.2837504107346269
MMP0985,formate_vs_phosphate,-0.10250822175564561,-0.7561071106972491,0.6535988889416036,12,12,0.12162226192787752,0.2842211999174772
MMP0829,formate_vs_phosphate,-0.42766110950721026,-0.9714995679917475,0.5438384584845373,11,10,0.12491611204841135,0.29087608948415783
MMP1249,formate_vs_phosphate,0.25623405063866683,-0.15609417065577216,0.412328221294439,12,12,0.12673516326191892,0.29406165995292216
MMP0002,formate_vs_phosphate,-1.3356767925706303,0.09934521707121946,-1.4350220096418498,7,3,0.1276690302635972,0.29517804160235944
MMP1155,formate_vs_phosphate,1.4206892590957076,2.3511337682355067,-0.930444509139799,12,8,0.13013591919241152,0.29981844280371844
MMP1420,formate_vs_phosphate,-0.19780647650200758,-0.5718687625045665,0.374062286002559,12,12,0.1328822317168124,0.3047727645126885
MMP1515,formate_vs_phosphate,-0.39203764085922915,-0.6712673714934612,0.279229730634232,12,12,0.13327049023275697,0.3047727645126885
MMP1069,formate_vs_phosphate,-0.04208098386957917,0.6633942136516955,-0.7054751975212746,5,9,0.13391713440683203,0.3047727645126885
