Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP0148,xs,s,-0.19088494689060298,-1.5311461720012849,1.340261225110682,3,3,0.37248074014523774,0.8949643824593566
MMP0108,xs,s,0.6312582985559831,0.14895569793325106,0.4823026006227321,3,3,0.378219544698176,0.8949643824593566
MMP0645,xs,s,0.24972526628924366,-0.6663486019766968,0.9160738682659404,3,3,0.37880973617892594,0.8949643824593566
MMP1410,xs,s,-0.8206761050497033,-0.33623725056561704,-0.4844388544840863,3,3,0.3790725594821124,0.8949643824593566
MMP1588,xs,s,-0.4473799371939566,-0.7589158943555447,0.31153595716158816,3,3,0.3792640075335214,0.8949643824593566
MMP0113,xs,s,0.6839147986479199,-0.4748594228848922,1.158774221532812,3,2,0.38181326163400564,0.8949643824593566
MMP1352,xs,s,-0.8441696327808131,-1.915067431994033,1.07089779921322,3,3,0.3835554488499767,0.8949643824593566
MMP0346,xs,s,0.4837148435740648,-0.11058756385629238,0.5943024074303572,3,3,0.3870904968724514,0.8949643824593566
MMP0443,xs,s,-0.6227140594861228,-0.3572529191033749,-0.2654611403827479,3,3,0.38864537203536575,0.8949643824593566
MMP0292,xs,s,1.3118176085166513,0.9891627899849089,0.3226548185317424,3,3,0.3912046420028542,0.8949643824593566
MMP1038,xs,s,-1.058944749212647,-0.6879399877987322,-0.3710047614139147,3,3,0.3913721247111794,0.8949643824593566
MMP0044,xs,s,0.544218260081834,-0.03942592389034524,0.5836441839721793,3,3,0.3922631123672327,0.8949643824593566
MMP0156,xs,s,0.08159807110305696,-0.07332065133128456,0.15491872243434152,3,3,0.3926505379345762,0.8949643824593566
MMP1015,xs,s,1.654881706625557,2.1342941910114237,-0.4794124843858667,3,3,0.39320898765216367,0.8949643824593566
MMP1364,xs,s,0.48754604681093694,-0.18755977374286015,0.6751058205537971,3,3,0.3939982670038287,0.8949643824593566
MMP1245,xs,s,0.7021866155221321,1.0320787468767387,-0.3298921313546066,3,3,0.39502104817483374,0.8949643824593566
MMP1584,xs,s,0.33453084718639353,-1.4206603442383052,1.7551911914246987,2,2,0.4002083330071021,0.8949643824593566
MMP0816,xs,s,1.065958033769006,0.47332915453110663,0.5926288792378993,2,3,0.4018217370812581,0.8949643824593566
MMP1168,xs,s,0.6028171673412291,-0.07802543628682355,0.6808426036280527,3,3,0.4024031640690108,0.8949643824593566
MMP0624,xs,s,1.036902669335872,-0.3655548340116588,1.4024575033475308,2,3,0.40687854844610716,0.8949643824593566
MMP1120,xs,s,0.3575198061943513,-0.5196315560201124,0.8771513622144637,2,2,0.4074164178467412,0.8949643824593566
MMP0135,xs,s,0.1030302898682271,-0.3260560030373555,0.4290862929055826,3,3,0.40815848202606647,0.8949643824593566
MMP1322,xs,s,-0.8161164473388004,-0.11066291264540645,-0.7054535346933939,3,3,0.4100407693182379,0.8949643824593566
MMP0708,xs,s,0.41648806529127286,-1.0052088537557604,1.4216969190470332,3,3,0.41157329158190037,0.8949643824593566
MMP0023,xs,s,-0.03151276199856598,-0.48807401263981953,0.4565612506412535,2,3,0.41223142372970034,0.8949643824593566
MMP1216,xs,s,0.12402925980139895,-0.2526926877701427,0.37672194757154165,3,3,0.4141722705032029,0.8949643824593566
MMP1646,xs,s,-0.8120370131397605,-0.37287365053799687,-0.43916336260176364,2,3,0.4152528907330413,0.8949643824593566
MMP1190,xs,s,-0.10181387245087377,1.0644258144949121,-1.1662396869457858,3,3,0.4154490721173301,0.8949643824593566
MMP1465,xs,s,0.7260785968844841,1.0551366767832204,-0.32905807989873637,2,3,0.41820078497932495,0.8949643824593566
MMP0959,xs,s,0.7175800751321791,0.4354916865061394,0.28208838862603974,2,3,0.41849001176546,0.8949643824593566
MMP0318,xs,s,0.20976180251092535,-0.35888788472020305,0.5686496872311284,3,3,0.42079072818690144,0.8949643824593566
MMP0290,xs,s,0.4054769493256068,0.7757967106912224,-0.37031976136561556,3,3,0.4210072064045817,0.8949643824593566
MMP0657,xs,s,0.4246703302859898,-0.14331150169693563,0.5679818319829255,3,3,0.421811817336424,0.8949643824593566
MMP0884,xs,s,-0.5892251563808933,-0.1930149549792358,-0.3962102014016575,3,3,0.4219887739789324,0.8949643824593566
MMP0836,xs,s,0.1457777225704112,0.47167926197887516,-0.325901539408464,3,3,0.42356273460149296,0.8949643824593566
MMP0219,xs,s,0.7024915838030669,-0.5988620095507063,1.3013535933537732,3,3,0.4259370347457703,0.8949643824593566
MMP1498,xs,s,-1.7396395298289986,-1.3646692647623562,-0.37497026506664244,2,2,0.4263937340323448,0.8949643824593566
MMP0946,xs,s,0.4333240316137809,-0.25330738659383123,0.6866314182076121,3,3,0.4324927502639197,0.8949643824593566
MMP1679,xs,s,-0.2175801966448635,-0.9243937161442473,0.7068135194993838,2,3,0.43253816338325607,0.8949643824593566
MMP0658,xs,s,0.9061591524905964,0.5237288231437286,0.3824303293468678,3,3,0.4338041381725532,0.8949643824593566
MMP1486,xs,s,0.07271855916532377,0.9471686640073113,-0.8744501048419875,2,3,0.4338738154238099,0.8949643824593566
MMP0603,xs,s,0.6555831127259738,0.011203303809529242,0.6443798089164445,3,3,0.43531951863966034,0.8949643824593566
MMP0420,xs,s,0.9012920720697309,0.586590840482908,0.31470123158682295,3,3,0.43738795800592456,0.8949643824593566
MMP0002,xs,s,0.20008853608433919,-1.2764020967493228,1.476490632833662,2,2,0.4395975841370762,0.8949643824593566
MMP0370,xs,s,-0.7088181104408885,-0.016556382089117694,-0.6922617283517708,3,3,0.4399485179632042,0.8949643824593566
MMP1658,xs,s,-0.5123443872088731,-0.25659289947360525,-0.25575148773526785,3,3,0.4400653593308439,0.8949643824593566
MMP1310,xs,s,0.6013880164158197,0.11132230873634812,0.4900657076794716,3,3,0.4419599639399391,0.8954636582812945
MMP1437,xs,s,-0.5144703325078158,-1.323727651949551,0.8092573194417353,2,3,0.445699437461355,0.8992466787131123
MMP1546,xs,s,-1.0010352299992828,-0.39992296059498833,-0.6011122694042945,3,3,0.44713923250928234,0.8992466787131123
MMP1637,xs,s,0.6090907827726756,0.7835122928351841,-0.1744215100625085,3,3,0.44991988935486077,0.8997060191759213
MMP1462,xs,s,0.46648308240366837,0.9196956601684163,-0.45321257776474794,3,3,0.450681468169154,0.8997060191759213
MMP0062,xs,s,-1.720293989806146,-1.0202364680817708,-0.7000575217243752,3,3,0.4524510155789165,0.899930041975647
MMP0955,xs,s,-2.411930543469175,-1.237468381581989,-1.174462161887186,2,3,0.4570765796757721,0.901125781961066
MMP1611,xs,s,0.02378858687621251,-0.3606868755990538,0.3844754624752663,3,3,0.4594578934392543,0.901125781961066
MMP0620,xs,s,0.3866048215888666,0.23527709559436205,0.15132772599450456,3,3,0.46486483787684346,0.901125781961066
MMP0258,xs,s,-0.835364111418459,-0.31944766554253984,-0.5159164458759191,3,3,0.4649568901505725,0.901125781961066
MMP1011,xs,s,0.2102472772433027,-0.11744474790777353,0.3276920251510762,3,3,0.4661385929148914,0.901125781961066
MMP1403,xs,s,0.4021901578077265,-0.3580610398478154,0.7602511976555419,3,3,0.46894582131334756,0.901125781961066
MMP0704,xs,s,0.9784663355599724,0.5358809838804817,0.44258535167949076,3,3,0.46925224900859946,0.901125781961066
MMP1550,xs,s,0.11695978835312733,-0.06972278227478694,0.18668257062791427,3,3,0.4739370892923498,0.901125781961066
MMP0591,xs,s,0.07448222565814216,-0.19605121441386766,0.27053344007200986,2,3,0.4745833612155224,0.901125781961066
MMP1361,xs,s,0.0624077186907381,-0.31300265301125474,0.3754103717019928,3,3,0.47519934705004413,0.901125781961066
MMP0829,xs,s,-0.33102889128855073,-0.7355288803955887,0.404499989107038,2,3,0.4754994187995303,0.901125781961066
MMP0137,xs,s,-0.17077017722472132,0.4485243637217423,-0.6192945409464636,3,2,0.4793178599395646,0.901125781961066
MMP0440,xs,s,0.04175105163240933,0.7868661516135815,-0.7451150999811722,3,2,0.48293043607430786,0.901125781961066
MMP1513,xs,s,0.5342403072072931,1.4710251594930137,-0.9367848522857206,3,3,0.4883972066024221,0.901125781961066
