Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP0183,xs,i,0.5528923819574779,0.3841709872380215,0.1687213947194564,3,3,0.54925184669962,0.8241856792352986
MMP1070,xs,i,0.0071923411307449475,0.6298261862279253,-0.6226338450971803,3,3,0.549457119490199,0.8241856792352986
MMP1551,xs,i,-0.6518347605655146,0.3641758358038734,-1.016010596369388,2,2,0.5557974775852487,0.8284660501351888
MMP0281,xs,i,2.384992049161245,1.9029353738950825,0.48205667526616236,3,3,0.5571193283951872,0.8284660501351888
MMP1616,xs,i,-0.5914274207390154,-0.2673019999388034,-0.32412542080021206,3,3,0.5572715746418336,0.8284660501351888
MMP0645,xs,i,0.8726783873036733,0.5089694924312822,0.3637088948723911,3,3,0.5591839973456779,0.8288496528703688
MMP1392,xs,i,1.7634868346832828,1.1385157902067211,0.6249710444765617,3,3,0.5610061801085767,0.8290976290100205
MMP0824,xs,i,0.7985475801903575,1.345956799414438,-0.5474092192240804,3,3,0.564877681396456,0.8323638775871308
MMP1186,xs,i,0.4883945580803542,0.004229795117514257,0.48416476296283995,3,2,0.5679678274622262,0.8344629957729481
MMP1147,xs,i,-2.0516381574554656,-1.6724706801218963,-0.37916747733356937,2,3,0.5714171103199279,0.8346069448175246
MMP0353,xs,i,-1.1518347616839097,-0.6724706791541143,-0.47936408252979545,2,3,0.5740456116934511,0.8346069448175246
MMP1206,xs,i,-0.5412235779929679,-0.6521001745354932,0.11087659654252524,3,3,0.5771287582907183,0.8346069448175246
MMP0633,xs,i,0.061379545503403486,0.25639477517256654,-0.19501522966916304,3,3,0.5788924419133856,0.8346069448175246
MMP0132,xs,i,0.13188091348374817,0.3841709877769695,-0.25229007429322137,3,3,0.5789579116510931,0.8346069448175246
MMP1178,xs,i,0.7396104510547395,0.3199559617652631,0.41965448928947646,3,3,0.5804299964476346,0.8346069448175246
MMP1721,xs,i,1.3133210858101416,1.8459889285077107,-0.5326678426975691,3,2,0.5807971037561491,0.8346069448175246
MMP0164,xs,i,-0.46771672216301585,-0.2696084717445881,-0.19810825041842778,3,3,0.5818835400287072,0.8346069448175246
MMP1349,xs,i,0.5257977259163239,0.8754813837374879,-0.34968365782116395,3,3,0.5839250880202145,0.8346069448175246
MMP1252,xs,i,0.09487047565504692,-0.22042274292503805,0.31529321858008497,3,3,0.5861541490918374,0.8346069448175246
MMP0263,xs,i,-0.21460020195782042,-1.0058040120035565,0.7912038100457361,2,3,0.5863905081352668,0.8346069448175246
MMP1317,xs,i,0.14064649017790243,-0.5042309303623664,0.6448774205402689,2,2,0.5915005416487624,0.8367729744671526
MMP0064,xs,i,1.0110242203617248,1.495769069313103,-0.48474484895137815,3,2,0.5957468707070404,0.8367729744671526
MMP1549,xs,i,0.6093258900273563,0.050837654371518104,0.5584882356558382,2,3,0.5957563984484582,0.8367729744671526
MMP1289,xs,i,-1.0962851431868519,-0.941588986506649,-0.15469615668020287,3,3,0.5960945675050262,0.8367729744671526
MMP0540,xs,i,-0.08882920699751702,-0.26746638248642474,0.17863717548890773,3,3,0.5965333801713537,0.8367729744671526
MMP1550,xs,i,0.7935119489686628,0.4164581678879065,0.3770537810807563,3,3,0.5990427632950908,0.8367729744671526
MMP0608,xs,i,0.645562707775582,1.0893300603435787,-0.4437673525679967,3,3,0.599603788091233,0.8367729744671526
MMP1033,xs,i,1.7440480027704968,2.2143956945463987,-0.47034769177590197,3,2,0.6047133288044666,0.841559382586216
MMP1129,xs,i,-1.5603909533230045,-2.1131133777724957,0.5527224244494913,3,3,0.610260164454935,0.8458359148424689
MMP0818,xs,i,2.751842700191219,3.7477922665903813,-0.9959495663991622,2,2,0.6111628765927619,0.8458359148424689
MMP1496,xs,i,-0.4443160114852903,-0.6724706791541143,0.22815466766882397,2,3,0.618363896972751,0.8534443867309868
MMP0715,xs,i,-0.15183476056551468,-0.5848756925432717,0.43304093197775695,2,2,0.6237482307634086,0.8585106143199662
MMP1465,xs,i,0.07523924606092719,-0.339137345820781,0.41437659188170817,3,3,0.625988957823891,0.8591680925952722
MMP1032,xs,i,0.19274471817612157,0.35099242999878255,-0.15824771182266098,3,3,0.627655732315109,0.8591680925952722
MMP0372,xs,i,0.45747766700383746,0.6090750899700459,-0.15159742296620843,3,3,0.630787804669429,0.8611026979274765
MMP1544,xs,i,-1.0618224787493535,-0.8418529804850873,-0.21996949826426626,3,3,0.634773171680809,0.8641884755763188
MMP0414,xs,i,-0.886782402737718,-1.1085114451453644,0.22172904240764635,3,3,0.6528565324944697,0.8836263157405955
MMP0250,xs,i,-0.13329558185456739,0.14245760155484402,-0.2757531834094114,3,3,0.6535418490909592,0.8836263157405955
MMP1116,xs,i,-0.05039487699427451,0.058457973631396515,-0.10885285062567102,3,3,0.6543420421951316,0.8836263157405955
MMP0875,xs,i,-4.316735894258111,-4.6292589219388,0.3125230276806894,2,3,0.6575081834185192,0.8837657998074762
MMP1036,xs,i,0.9628942510775236,1.214986546200891,-0.2520922951233675,3,3,0.6579733399764244,0.8837657998074762
MMP0116,xs,i,1.8277018601821646,1.3997779399970594,0.4279239201851053,3,3,0.6606856637712648,0.8850361431802237
MMP0108,xs,i,0.7108694448207791,0.3199559620125247,0.3909134828082544,3,3,0.6647437900940245,0.8880977035656167
MMP1562,xs,i,-0.7122841127020131,-0.20591299342763875,-0.5063711192743743,3,2,0.6780954989085282,0.8961081591796487
MMP1462,xs,i,1.2391902785006044,0.9492143671822683,0.2899759113183361,3,2,0.6814006645999804,0.8961081591796487
MMP0937,xs,i,-0.2783280910536819,-0.9283054145567047,0.6499773235030228,2,2,0.682203026586979,0.8961081591796487
MMP0386,xs,i,0.27030425460731927,0.353604376649359,-0.08330012204203974,3,3,0.6852424881837955,0.8961081591796487
MMP1324,xs,i,-1.863399732489887,-1.649007570517418,-0.2143921619724689,3,3,0.6873622281493865,0.8961081591796487
MMP1500,xs,i,0.20797057603661495,0.29649285217939236,-0.08852227614277741,3,3,0.6874417269763833,0.8961081591796487
MMP1502,xs,i,-1.3147357544368325,-1.200791512459033,-0.11394424197779962,3,3,0.6897509752398702,0.8961081591796487
MMP1115,xs,i,1.2898579762135307,1.02513988298793,0.2647180932256008,3,2,0.6910885191456426,0.8961081591796487
MMP1177,xs,i,-0.9557972221567738,-0.8032431540070318,-0.15255406814974193,3,3,0.6915744986712298,0.8961081591796487
MMP0427,xs,i,0.5913847878846447,0.4353193439305381,0.15606544395410654,3,3,0.6926329494446442,0.8961081591796487
MMP0187,xs,i,-0.5212384248456795,-0.7776379549774267,0.2563995301317472,3,3,0.693441659286465,0.8961081591796487
MMP1320,xs,i,-0.258094087095136,-0.42407531240027324,0.16598122530513726,3,3,0.6938624891270453,0.8961081591796487
MMP0736,xs,i,0.0442027782183268,-0.08965026858822461,0.1338530468065514,3,3,0.6962862200336308,0.8961081591796487
MMP1507,xs,i,-1.1197482538373669,-0.9316732049605344,-0.18807504887683246,3,3,0.6968828366372855,0.8961081591796487
MMP1492,xs,i,-1.0631065862279874,-1.3957790124306184,0.33267242620263104,3,3,0.6975692257087086,0.8961081591796487
MMP0821,xs,i,1.2060117206635452,1.4718491231440514,-0.26583740248050614,3,3,0.7008656648777256,0.8980285569383301
MMP0591,xs,i,-0.5516381568962679,-0.08750817875555204,-0.4641299781407159,2,3,0.7026490904587334,0.8980285569383301
MMP0050,xs,i,-0.7728675924307798,-0.6764124914662122,-0.09645510096456766,3,3,0.7061404463366928,0.9001943094521199
MMP0179,xs,i,0.2824020385870856,0.13348015914118505,0.14892187944590057,3,3,0.7081345466470068,0.9004451976399757
MMP1409,xs,i,0.011024220890457218,-0.23182798109747796,0.24285220198793517,3,3,0.7176243821598118,0.9068217547310904
MMP0584,xs,i,-0.3430320539905793,-0.005804013057772413,-0.3372280409328069,3,3,0.7179766026114505,0.9068217547310904
MMP0961,xs,i,3.3029833242775783,3.5642721055146063,-0.2612887812370279,3,3,0.7197977524417076,0.9068217547310904
MMP0093,xs,i,0.4652142469211901,0.18918348775293778,0.27603075916825237,3,3,0.7203893380897685,0.9068217547310904
MMP0282,xs,i,-0.15183476112471225,-0.7923944421826936,0.6405596810579813,2,2,0.7239341325404098,0.9086810719677235
MMP0058,xs,i,0.254233102128296,0.3112508329487336,-0.05701773082043765,3,3,0.7302762158693684,0.9086810719677235
MMP0092,xs,i,0.13188091343049121,0.013827217197075256,0.11805369623341595,3,3,0.7319756141139004,0.9086810719677235
MMP0278,xs,i,-0.32230911278660557,-0.07001903847210077,-0.2522900743145048,3,3,0.7322246528911158,0.9086810719677235
MMP1658,xs,i,-1.0987449875399766,-1.0160001188753849,-0.08274486866459174,3,3,0.7326127747564165,0.9086810719677235
MMP0279,xs,i,0.34816523860321946,-0.08487569254327165,0.4330409311464911,2,2,0.735328475819863,0.9086810719677235
MMP1053,xs,i,-0.18900167329513595,-0.39577901250586195,0.206777339210726,3,3,0.7355729709610708,0.9086810719677235
MMP0966,xs,i,-0.6420951175772989,-0.3391373458207809,-0.30295777175651795,3,3,0.7370381597223579,0.9086810719677235
MMP1136,xs,i,0.14691020999592336,0.3349852582800918,-0.18807504828416843,3,3,0.7381900125566138,0.9086810719677235
MMP0326,xs,i,-0.793988279608297,-0.5983398714928013,-0.19564840811549566,3,3,0.7400767589898791,0.9087707261125721
MMP0422,xs,i,0.14064649017790243,0.49148035294142084,-0.3508338627635184,2,3,0.7420872530901697,0.9090115251789119
MMP1524,xs,i,0.40857257958568005,0.6298261856160177,-0.2212536060303376,3,3,0.7443545770189285,0.9095649831377639
MMP0052,xs,i,1.3064015655993733,0.940177068168976,0.3662244974303973,3,3,0.7479777272431408,0.9117684704350695
MMP1319,xs,i,-0.7359784787326342,-0.6144608792996042,-0.12151759943302998,3,3,0.7544950045132277,0.9161515784895667
MMP0968,xs,i,0.832868118560281,1.3732128206450602,-0.5403447020847792,2,2,0.756631758963551,0.9161515784895667
MMP1493,xs,i,0.20140978719676372,-0.005804012487447534,0.20721379968421125,3,3,0.7570593882129354,0.9161515784895667
MMP1666,xs,i,-1.3127988085683935,-1.0624456794197943,-0.2503531291485992,2,3,0.7668113412700284,0.925716824039239
MMP0013,xs,i,0.6542277777126295,0.3781970189888589,0.27603075872377064,3,3,0.78160003084081,0.9413019602193409
MMP0917,xs,i,0.5747515526225766,0.3841709882322566,0.19058056439032,2,3,0.7875226307122924,0.9438235888912125
MMP1470,xs,i,-0.32230911284334735,-0.14504122344383732,-0.17726788939951002,3,3,0.7960722729969574,0.9438235888912125
MMP1445,xs,i,-1.183963279757293,-1.5042309303623664,0.32026765060507345,3,2,0.7967844032486051,0.9438235888912125
MMP1365,xs,i,-1.5037492846614284,-1.3898050432415918,-0.11394424141983661,3,3,0.7968602868237948,0.9438235888912125
MMP1362,xs,i,-0.7813323282913857,-0.656463507536737,-0.12486882075464867,3,3,0.7977641205667847,0.9438235888912125
MMP0235,xs,i,1.3016105371742255,1.15673311682169,0.14487742035253537,2,2,0.8006349014929265,0.9438235888912125
MMP0407,xs,i,0.7108694446711423,0.508969492764637,0.20189995190650534,3,3,0.8038157714931924,0.9438235888912125
MMP0620,xs,i,0.4036903211971641,0.5506597481590643,-0.14696942696190018,3,3,0.8057766426865579,0.9438235888912125
MMP0125,xs,i,0.9308020231314295,0.6608626538700736,0.26993936926135587,3,3,0.8060085847211333,0.9438235888912125
MMP1443,xs,i,-0.89067411081144,-1.428305414556705,0.5376313037452649,2,2,0.8103366769390296,0.9438235888912125
MMP1381,xs,i,0.4085725790214621,0.5791584879452368,-0.17058590892377473,3,3,0.811593732354102,0.9438235888912125
MMP0708,xs,i,-0.8681190861305116,-0.7797800439002146,-0.08833904223029698,3,3,0.8132887108618696,0.9438235888912125
